"","data_criacao","e_sobre_a_empresa","id","text","usuario"
"0","Fri Apr 19 21:30:03 +0000 2019","","1.1193524842527826e+18","@fatmaiconkkk @MAlCONKUSTERKKK @cacaushow @BurgerKingBR @McDonalds_BR @bobsbrasil @GiraffasOficial @PancoOficial @Garoto @perdigaooficial @sadia @Oreo @clubsocial @Nestle @kibonbr @kfc @hellmannsbrasil @br_heinz @nescau @toddybrasil @Ovomaltine_br @Nesquik Liga pra ele não. Eu tenho mais comida do que ele, eu tenho um hamburger exclusivo do Mac Donald's kkkkkk","Canto da sereia kuster"
"1","Fri Apr 19 21:02:33 +0000 2019","","1.1193455649555743e+18","Esse rage e a necessidade de expor o q tô pensando deve ser muito tempo no twitter. A gente tenta se cercar de coisas e gente sadia por aqui (o que não deixa de ser uma merda de bolha) mas n tem jeito. Como se ficar sendo negativo aqui fosse ajudar alguma coisa tbm","Cauê Petito"
"2","Fri Apr 19 20:53:17 +0000 2019","","1.1193432311232963e+18","Que mané peixe, almoço de hoje foi Lasanha Sadia 😁","Suricate"
"3","Fri Apr 19 20:47:39 +0000 2019","","1.1193418137169306e+18","Esses Strogonoff da Sadia são bom pra caralho","desesperado porém tranquilo"
"4","Thu Apr 18 22:48:41 +0000 2019","","","@leo_godinho 99 seguidores foi uma brincadeirinha sadia, tenha espírito esportivo Sr. Gordinho, desculpe, GODINHO, rsrs","FelippeCardosoN"
"5","Thu Apr 18 22:33:54 +0000 2019","","","Estamos muito longe de uma sociedade sadia... https://t.co/9fERTCV7vz","vinilabanca"
"6","Thu Apr 18 22:13:08 +0000 2019","","","Gnt eu sugeri para o boy ele fazer pizza pra mim. Agora tá eu aqui arrependida do trabalho q vai dá e só pensando q devia ter pedido pra ele comprar uma da Sadia msm e tá ótimo 💔 #arrependidaemmikonos","_anneway"
"7","Thu Apr 18 22:05:59 +0000 2019","","","Perdigão ou Sadia? — Me diz você, prefere qual? https://t.co/g8O85Qcifu","Salles7crf"
"8","Thu Apr 18 21:52:10 +0000 2019","","","Primeira vez na vida q eu e a testuda tivemos uma conversa sadia e produtiva, orgulho","carolz1nh"
"9","Thu Apr 18 22:45:30 +0000 2019","","","Esse Ciro atualizado de mente aberta e sadia acordou tarde para entender que caminhar com petista é o mesmo pegar carona com marginal fugindo da polícia, toda hora pode ter uma surpresa desagradável. Ou tava hipnotizado ou é muito burro pois 58 milhões de brasileiros sabia disso. https://t.co/N5OZyHY3ZO","Edilbertolorde"
