"data_criacao","id","text","usuario"
"Sun Apr 21 21:43:51 +0000 2019","1120080731533979649","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Daniela Pinheiro"
"Sun Apr 21 21:41:28 +0000 2019","1120080133187096576","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Filipe Souza"
"Sun Apr 21 21:37:04 +0000 2019","1120079025047732226","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","hugo"
"Sun Apr 21 21:32:56 +0000 2019","1120077987695792134","@calazani @sadia eu to em choque, q isso vc é mt atencioso","ɢᴀʙʀɪᴇʟʟʏ"
"Sun Apr 21 21:32:33 +0000 2019","1120077890526298117","@calazani @sadia moço você quebrou a internet com esse tweet","ɢᴀʙʀɪᴇʟʟʏ"
"Sun Apr 21 21:28:18 +0000 2019","1120076819280089088","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Gabz"
"Sun Apr 21 21:19:19 +0000 2019","1120074557421965313","""briga sadia""","Carapicuinha"
"Sun Apr 21 21:06:21 +0000 2019","1120071295960481801","@herbert49422420 @raivosoticao @g1 fraco de argumento. mente de bosta! nem pra debater de forma sadia presta, só faz peso na terra!","Guilherme Reis🇧🇷"
"Sun Apr 21 21:02:11 +0000 2019","1120070249230012416","com todo respeito aos flamenguistas, vascaínos, tricolores, demais torcedores e times.. mas com tanta coisa ruim acontecendo por aí, e uma brincadeira sadia dessas, estragar a festa, a magia do futebol e do verdadeiro significado de torcedor eu não consigo engolir https://t.co/9rs0lpdjx0","De Souza, Bernardo"
"Sun Apr 21 20:41:59 +0000 2019","1120065162336190469","uvei comprô tive q assar uns quibinho pif paf são mais saborosos q os da sadia eu acho... mas aí eles pode sabotar... 17:41h s de saudável s de san s de sadia q men-ti---raaa...","Alessandra Bispo"
"Sun Apr 21 20:41:50 +0000 2019","1120065127007625217","@raissapessoa_ hamburguer sadia ;)","guga"
"Sun Apr 21 20:29:18 +0000 2019","1120061970437296128","@thiagogotaam uai mas é sadia mesmo eu só ri kkkkkkkkkk","Vanessa"
"Sun Apr 21 20:28:10 +0000 2019","1120061686931763203","@ness_rodrigues oh legal é uma zoação sadia... mas tá valendo","Gota do amarelinho"
"Sun Apr 21 20:28:10 +0000 2019","1120061686931763203","@ness_rodrigues oh legal é uma zoação sadia... mas tá valendo","Gota do amarelinho"
"Sun Apr 21 20:17:24 +0000 2019","1120058975448457216","@bbcbrasil com esse bacon porcaria que existe no brasil, pode ser que sim, né @sadia ?","@ccaks"
"Sun Apr 21 19:46:18 +0000 2019","1120051151280529408","@gugachacra comentário que farei é dispensável nem leia.

mas a brincadeira que o guga faz é muito mais leve e saudável, do que as que vemos entre os comentaristas da área esportiva.

que as vezes com ranço distorcem fatos para menosprezar equipes rivais.

pela zoeira sadia no futebol !!","PauloCaeta"
"Sun Apr 21 19:42:57 +0000 2019","1120050308942635008","conversa sadia com a mãe da harine pra ver quem é q vai dar um ovo de páscoa pra quem","ysa"
"Sun Apr 21 19:42:35 +0000 2019","1120050213626970113","rt @spinellicrf: diego claramente sempre tentando o passe mais difícil, como faz bem a competição sadia dentro do elenco","#ForaAbel 🇹🇹"
"Sun Apr 21 19:39:40 +0000 2019","1120049481343557637","diego claramente sempre tentando o passe mais difícil, como faz bem a competição sadia dentro do elenco","Matheus Spinelli"
"Sun Apr 21 19:25:38 +0000 2019","1120045949836058624","@thiagocmtimao esse é bola sadia","Guerrilheiro"
"Sun Apr 21 18:54:40 +0000 2019","1120038155300818946","@soucrvasco boa, trocação sadia, sem judiação.","Leonardo ✠"
"Sun Apr 21 18:53:00 +0000 2019","1120037737938210822","@lucasvon sim mas quem teria de engrandecer  a rivalidade de forma sadia parece que ainda vive a fase de chamar a mãe quando é contrariado. o mal dessa onda dos digital influencer tipo @fabianobaldasso, o chorão..","Manoel Albuquerque"
"Sun Apr 21 18:50:26 +0000 2019","1120037091776319488","com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Kallel Calazani"
"Sun Apr 21 18:45:14 +0000 2019","1120035783702994944","tava planejando meu casamento e minha viagem no egito com os meus amigos, cara isso é tão bobo mas foi uma conversa tão sadia e engraçada que vou contar pro cês viu","Tonhao da lua"
"Sun Apr 21 18:27:14 +0000 2019","1120031254274035713","rt @stephieborges: se teve uma coisa que a vida dentro das editoras me ensinou é que a precisa se ver e se entender como mediador de leitur…","faca salame"
"Sun Apr 21 18:24:04 +0000 2019","1120030457817640962","@velberan faltou o sadia","Érico com E de Eu, Giorno Giovanna, tenho um sonho"
"Sun Apr 21 18:00:38 +0000 2019","1120024557509857281","@dnaraujo05 kkkkkkkkkkkkkkkkk brincadeira sadia","sou blindado por Deus"
"Sun Apr 21 18:00:38 +0000 2019","1120024557509857281","@dnaraujo05 kkkkkkkkkkkkkkkkk brincadeira sadia","sou blindado por Deus"
"Sun Apr 21 17:42:16 +0000 2019","1120019937144254464","na minha infância um dos presentes que mais gostei foi um bone da sadia, do meu primeiro treinador na década de 90..
enchi o saco pra ganhar😂😂😂 https://t.co/taghbugv1s","Marcelo Guerreiro"
"Sun Apr 21 17:29:33 +0000 2019","1120016734243696640","@erikescossio @furiagg @sharksesportsgg @coachics @guerricsgo não é desrespeito é provocação, que todo jogo tem que ter uma provocação sadia e isso provoca hype no jogo, e se respeitar para você e dar uma de humildao você deveria rever seus conceitos de humildao","Leoran"
"Sun Apr 21 17:28:15 +0000 2019","1120016408719626246","review de comidas congeladas utilidade pública 

o yakisoba congelado da sadia é bom","gentilady"
"Sun Apr 21 17:08:58 +0000 2019","1120011556295720960","@araujolorenzo4 não acho mentiras e descontextualização uma provocação sadia.","Alexandre Giesbrecht"
"Sun Apr 21 17:03:59 +0000 2019","1120010302509260801","almoço de páscoa: lasanha da sadia.","Barbão ✡"
"Sun Apr 21 16:34:54 +0000 2019","1120002981318021121","5 lugares de concórdia q eu chorei 
senai
casa da lara
cinema depois de terminar namoro
ser sadia
casa do bruno https://t.co/idffehqsl8","Brian"
"Sun Apr 21 16:32:46 +0000 2019","1120002446900772864","@taliriapetrone bom dia, a condição de doente, faminto e prostituta, não é a condição sadia do ser humano, jesus curou os doentes, alimentou os famintos e perdoou a mulher adúltera, que se convencionou a chamar de prostituta. jesus anunciou a todos a boa nova, que temos um pai amoroso, que nos","Gilberto Andrade"
"Sun Apr 21 16:28:59 +0000 2019","1120001493715890176","lasanha pronta da sadia , de leii","Pakistano🇵🇰"
"Sun Apr 21 16:26:14 +0000 2019","1120000801609527297","@paulo_nunes8 @estebantavares toda a corneta sadia é valida mas os tem áudios que é fora da realidade nem em buteco se escuta tanta bobagens falta empatia da parte de vocês com o ser humano,não interessa a cor que torce,o bom disso tudo é que tem plataforma alternativas.","Veri1903"
