"data_criacao","e_sobre_a_empresa","id","text","usuario"
"Wed Apr 24 00:05:19 +0000 2019",0,"1120841110010638336","@jggordao @rts1983 pode até ser, senão for é um cara que aceita a zoeira de forma sadia.","Eudes Sampaio"
"Wed Apr 24 00:05:19 +0000 2019",0,"1120841107963817985","rt @livetheagency: quer fazer parte do nosso time de estratégia e planejamento? estamos buscando uma pessoa com alguma experiência na área…","o macaullay que não é o culkin"
"Wed Apr 24 00:04:36 +0000 2019",1,"1120840930075000832","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Renato Silveira"
"Wed Apr 24 00:04:12 +0000 2019",1,"1120840830149890048","com quantos anos você descobriu que o mascote da sadia e o gasparzinho com uma fantasia de frango .","RODRIGO GP RU PRODUC"
"Wed Apr 24 00:02:15 +0000 2019",1,"1120840338195800069","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Isaa"
"Wed Apr 24 00:02:09 +0000 2019",1,"1120840312304349184","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Eduardo ‏✠"
"Wed Apr 24 00:00:09 +0000 2019",1,"1120839808878825472","é pq o frango já foi morto pela sadia https://t.co/xeryowmlm7","giu"
"Tue Apr 23 23:50:46 +0000 2019",0,"1120837449716989953","kkklklkk aquela amizade sadia kkkkkkkkk https://t.co/kpgqs4btkc","William_buscape"
"Tue Apr 23 23:49:52 +0000 2019",1,"1120837222209597442","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Sr Batata"
"Tue Apr 23 23:47:36 +0000 2019",0,"1120836649515212800","@tsavkko exato. eu não sei pq a esquerda está problematizando o encontro da tabata, querendo ou não é fazer uma política sadia, buscar conciliação entre partes distintas.","gay e amarga"
"Tue Apr 23 23:44:07 +0000 2019",1,"1120835775933964289","alguem corre aqui e me traz uma pizza da sadia","manoela"
"Tue Apr 23 23:42:24 +0000 2019",1,"1120835344688193537","@wellingtonni10 na mortadela sadia 😂😂😂😂","2p"
"Tue Apr 23 23:40:06 +0000 2019",0,"1120834762036404226","@gordinhasperf isso é um mlk...pq ao inves de admirar a beleza dessas mulheres lindas do grupo e pegar uma amizade sadia....nao se propoe a trocar elogios...","Edusilvazl42"
"Tue Apr 23 23:37:55 +0000 2019",1,"1120834212960120832","@paulomatangi minha coluna parece o s da sadia","FILHO DA MOMO"
"Tue Apr 23 23:37:01 +0000 2019",1,"1120833987641896960","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","Deku"
"Tue Apr 23 23:35:09 +0000 2019",1,"1120833520157581313","rt @calazani: com quantos anos você descobriu que o mascote da @sadia é o gasparzinho numa fantasia de frango? https://t.co/tyrt5debyw","lari"
